frame.number,frame.time,frame.len,ip.len,tcp.len,udp.length,ip.src,ip.dst,_ws.col.Protocol
"75","Nov 22, 2024 12:44:46.873995000 CST","40610","40596","40544",,"10.10.1.1","10.10.1.2","TCP"
"76","Nov 22, 2024 12:44:46.874001000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"77","Nov 22, 2024 12:44:46.874014000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"78","Nov 22, 2024 12:44:46.874025000 CST","24682","24668","24616",,"10.10.1.1","10.10.1.2","TCP"
"79","Nov 22, 2024 12:44:46.874039000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"80","Nov 22, 2024 12:44:46.874039000 CST","27578","27564","27512",,"10.10.1.1","10.10.1.2","TCP"
"81","Nov 22, 2024 12:44:46.874054000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"82","Nov 22, 2024 12:44:46.874070000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"83","Nov 22, 2024 12:44:46.874072000 CST","37714","37700","37648",,"10.10.1.1","10.10.1.2","TCP"
"84","Nov 22, 2024 12:44:46.874095000 CST","27578","27564","27512",,"10.10.1.1","10.10.1.2","TCP"
"85","Nov 22, 2024 12:44:46.874133000 CST","37714","37700","37648",,"10.10.1.1","10.10.1.2","TCP"
"86","Nov 22, 2024 12:44:46.874134000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"87","Nov 22, 2024 12:44:46.874152000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"88","Nov 22, 2024 12:44:46.874154000 CST","31922","31908","31856",,"10.10.1.1","10.10.1.2","TCP"
"89","Nov 22, 2024 12:44:46.874170000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"90","Nov 22, 2024 12:44:46.874184000 CST","33370","33356","33304",,"10.10.1.1","10.10.1.2","TCP"
"91","Nov 22, 2024 12:44:46.874186000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"92","Nov 22, 2024 12:44:46.874203000 CST","24682","24668","24616",,"10.10.1.1","10.10.1.2","TCP"
"93","Nov 22, 2024 12:44:46.874219000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"94","Nov 22, 2024 12:44:46.874228000 CST","29026","29012","28960",,"10.10.1.1","10.10.1.2","TCP"
"95","Nov 22, 2024 12:44:46.874233000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"96","Nov 22, 2024 12:44:46.874259000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"97","Nov 22, 2024 12:44:46.874275000 CST","11650","11636","11584",,"10.10.1.1","10.10.1.2","TCP"
"98","Nov 22, 2024 12:44:46.874292000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"99","Nov 22, 2024 12:44:46.874299000 CST","59282","59268","59216",,"10.10.1.1","10.10.1.2","TCP"
"100","Nov 22, 2024 12:44:46.874350000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"101","Nov 22, 2024 12:44:46.911359000 CST","114","100","48",,"10.10.1.2","10.10.1.1","TCP"
"102","Nov 22, 2024 12:44:46.911583000 CST","24682","24668","24616",,"10.10.1.1","10.10.1.2","TCP"
"103","Nov 22, 2024 12:44:46.911631000 CST","66","52","0",,"10.10.1.2","10.10.1.1","TCP"
"104","Nov 22, 2024 12:44:46.911638000 CST","40610","40596","40544",,"10.10.1.1","10.10.1.2","TCP"
"105","Nov 22, 2024 12:44:46.911674000 CST","52194","52180","52128",,"10.10.1.1","10.10.1.2","TCP"
