frame.time_epoch,frame.len
1732301086.912628000,66
1732301086.912648000,66
1732301086.912661000,43506
1732301086.912690000,39162
1732301086.912704000,66
1732301086.912716000,26130
1732301086.912727000,66
1732301086.912731000,21786
1732301086.912741000,66
1732301086.912754000,66
1732301086.912770000,43506
1732301086.912806000,26130
1732301086.912820000,23234
1732301086.912822000,66
1732301086.912837000,31922
1732301086.912838000,66
1732301086.912851000,66
1732301086.912861000,10202
1732301086.912861000,17442
1732301086.912867000,66
1732301086.912889000,66
1732301086.912930000,47850
1732301086.912967000,33218
1732301086.912985000,66
1732301086.913003000,66
1732301086.969458000,114
1732301087.012387000,66
1732301087.016518000,114
1732301087.016603000,66
1732301087.071692000,114
1732301087.071776000,66
1732301087.120100000,114
1732301087.120186000,66
1732301088.955264000,114
1732301088.955564000,7306
1732301088.955565000,7306
1732301088.955608000,66
1732301088.955623000,66
1732301088.956262000,14546
1732301088.956288000,66
1732301088.956311000,14546
1732301088.956330000,66
1732301088.956652000,21786
1732301088.956682000,66
1732301088.956706000,7306
1732301088.956706000,7306
1732301088.956724000,66
1732301088.956732000,66
1732301088.956754000,21786
1732301088.956795000,34818
1732301088.956795000,66
1732301088.956833000,66
1732301088.956839000,4410
1732301088.956839000,4410
1732301088.956839000,14546
1732301088.956871000,14546
1732301088.956876000,66
1732301088.956885000,66
1732301088.956894000,66
1732301088.956911000,36266
1732301088.956938000,66
1732301088.956957000,7306
1732301088.956957000,11650
1732301088.956987000,66
1732301088.957018000,46402
1732301088.957058000,66
1732301088.957070000,11650
1732301088.957089000,17442
1732301088.957113000,17442
1732301088.957119000,66
1732301088.957135000,11650
1732301088.957162000,7306
1732301088.957162000,21786
1732301088.957173000,66
1732301088.957209000,66
1732301088.957212000,43506
1732301088.957235000,66
1732301088.957249000,8754
1732301088.957270000,20338
1732301088.957286000,66
1732301088.957305000,36266
1732301088.957323000,66
1732301088.957351000,36266
1732301088.957367000,66
1732301088.957399000,29026
1732301088.957428000,66
1732301088.957451000,29026
1732301088.957462000,66
1732301088.957493000,23234
1732301088.957515000,66
1732301088.957517000,11650
1732301088.957544000,66
1732301088.957568000,1514
1732301088.957568000,66
1732301088.957568000,56538
1732301088.957645000,8754
1732301088.957645000,26130
1732301088.957678000,66
1732301088.957696000,2962
1732301088.957696000,36266
1732301088.957725000,66
1732301088.957771000,53642
1732301088.957775000,66
1732301088.957827000,11650
1732301088.957874000,66
1732301088.957880000,65226
1732301088.957895000,66
1732301088.957937000,15994
1732301088.957985000,49298
1732301088.957997000,66
1732301088.958023000,66
1732301088.958044000,43506
1732301088.958076000,66
1732301088.958107000,21786
1732301088.958126000,66
1732301088.958156000,66
1732301088.958172000,65226
1732301088.958220000,5858
1732301088.958263000,59434
1732301088.958294000,66
1732301088.958323000,33370
1732301088.958357000,66
1732301088.958366000,31922
1732301088.958398000,66
1732301088.958422000,60882
1732301088.958435000,66
1732301088.958506000,4410
1732301088.958506000,65226
1732301088.958531000,66
1732301088.958573000,23234
1732301088.958617000,42058
1732301088.958625000,66
1732301088.958657000,66
1732301088.958672000,50746
1732301088.958699000,66
1732301088.958726000,14546
1732301088.958757000,66
1732301088.958773000,65226
1732301088.958779000,66
1732301088.958828000,13098
1732301088.958870000,52194
1732301088.958884000,66
1732301088.958908000,66
1732301088.958927000,27426
1732301088.958958000,66
1732301088.958989000,66
1732301089.002284000,114
1732301089.002535000,40610
1732301089.002598000,24682
1732301089.002602000,66
1732301089.002651000,65226
1732301089.002662000,66
1732301089.002677000,2962
1732301089.002700000,62330
1732301089.002728000,66
1732301089.002730000,30474
1732301089.002755000,34818
1732301089.002769000,66
1732301089.002796000,57986
1732301089.002822000,66
1732301089.002840000,7306
1732301089.002840000,65226
1732301089.002855000,66
1732301089.002877000,20338
1732301089.002908000,44954
1732301089.002910000,66
1732301089.002925000,66
1732301089.002945000,47850
1732301089.002949000,66
1732301089.002972000,17442
1732301089.002999000,65226
1732301089.003006000,66
1732301089.003019000,66
1732301089.003039000,10202
1732301089.003060000,55090
1732301089.003071000,66
1732301089.003082000,66
1732301089.003089000,37714
1732301089.003110000,66
1732301089.003116000,27578
1732301089.003134000,66
1732301089.003139000,34818
1732301089.003151000,66
1732301089.003171000,30474
1732301089.003175000,66
1732301089.003198000,34818
1732301089.003208000,66
1732301089.003232000,66
1732301089.003300000,8754
1732301089.003318000,66
